Date,Close Price,Week Number,Column 1,Month Number,Column 2,Daily Return,Weekly Return,Monthly Return
22-Feb-23,17554.3,8,17844.6,2,17616.3,-1.528045011,,
23-Feb-23,17511.25,8,17844.6,2,17616.3,-0.245239058,,
24-Feb-23,17465.8,8,17844.6,2,17616.3,-0.259547434,,
27-Feb-23,17392.7,9,17392.7,2,17616.3,-0.418532217,-2.532418771,
28-Feb-23,17303.95,9,17392.7,2,17616.3,-0.510271551,,
01-Mar-23,17450.9,9,17392.7,3,17450.9,0.849228066,,-0.938903175
02-Mar-23,17321.9,9,17392.7,3,17450.9,-0.739216889,,
03-Mar-23,17594.35,9,17392.7,3,17450.9,1.572864409,,
06-Mar-23,17711.45,10,17711.45,3,17450.9,0.665554567,1.832665429,
08-Mar-23,17754.4,10,17711.45,3,17450.9,0.242498497,,
09-Mar-23,17589.6,10,17711.45,3,17450.9,-0.92822061,,
10-Mar-23,17412.9,10,17711.45,3,17450.9,-1.004570883,,
13-Mar-23,17154.3,11,17154.3,3,17450.9,-1.48510587,-3.145705179,
14-Mar-23,17043.3,11,17154.3,3,17450.9,-0.647068082,,
15-Mar-23,16972.15,11,17154.3,3,17450.9,-0.417466101,,
16-Mar-23,16985.6,11,17154.3,3,17450.9,0.079247473,,
17-Mar-23,17100.05,11,17154.3,3,17450.9,0.673806048,,
20-Mar-23,16988.4,12,16988.4,3,17450.9,-0.652922068,-0.967104458,
21-Mar-23,17107.5,12,16988.4,3,17450.9,0.70106661,,
22-Mar-23,17151.9,12,16988.4,3,17450.9,0.259535292,,
23-Mar-23,17076.9,12,16988.4,3,17450.9,-0.43726934,,
24-Mar-23,16945.05,12,16988.4,3,17450.9,-0.772095638,,
27-Mar-23,16985.7,13,16985.7,3,17450.9,0.239893066,-0.015893198,
28-Mar-23,16951.7,13,16985.7,3,17450.9,-0.200168377,,
29-Mar-23,17080.7,13,16985.7,3,17450.9,0.760985624,,
31-Mar-23,17359.75,13,16985.7,3,17450.9,1.633715246,,
03-Apr-23,17398.05,14,17398.05,4,17398.05,0.220625297,2.427630301,-0.30284971
05-Apr-23,17557.05,14,17398.05,4,17398.05,0.913895523,,
06-Apr-23,17599.15,14,17398.05,4,17398.05,0.239789714,,
