,Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
214,15-MAY-2023,18339.3,18458.9,18287.9,18398.85,216088535.0,19329.75
215,16-MAY-2023,18432.35,18432.35,18264.35,18286.5,219490491.0,21063.78
216,17-MAY-2023,18300.45,18309.0,18115.35,18181.75,229898510.0,20903.12
217,18-MAY-2023,18287.5,18297.2,18104.85,18129.95,272103515.0,24172.44
218,19-MAY-2023,18186.15,18218.1,18060.4,18203.4,260898407.0,22105.67
219,22-MAY-2023,18201.1,18335.25,18178.85,18314.4,262560942.0,25147.58
220,23-MAY-2023,18362.9,18419.75,18324.2,18348.0,270354216.0,28648.15
221,24-MAY-2023,18294.8,18392.6,18262.95,18285.4,232621507.0,24273.17
222,25-MAY-2023,18268.9,18338.1,18202.4,18321.15,235915651.0,22411.41
223,26-MAY-2023,18368.35,18508.55,18333.15,18499.35,198668359.0,19094.08
224,29-MAY-2023,18619.15,18641.2,18581.25,18598.65,265323978.0,19237.57
225,30-MAY-2023,18606.65,18662.45,18575.5,18633.85,234391323.0,21660.69
226,31-MAY-2023,18594.2,18603.9,18483.85,18534.4,696495765.0,70755.08
227,01-JUN-2023,18579.4,18580.3,18464.55,18487.75,265630759.0,24056.99
228,02-JUN-2023,18550.85,18573.7,18478.4,18534.1,270923679.0,23171.88
229,05-JUN-2023,18612.0,18640.15,18582.8,18593.85,256111496.0,20369.16
230,06-JUN-2023,18600.8,18622.75,18531.6,18599.0,220789926.0,21957.47
231,07-JUN-2023,18665.6,18738.95,18636.0,18726.4,260109671.0,21482.77
232,08-JUN-2023,18725.35,18777.9,18615.6,18634.55,286468927.0,22762.3
233,09-JUN-2023,18655.9,18676.65,18555.4,18563.4,221760885.0,20181.42
234,12-JUN-2023,18595.05,18633.6,18559.75,18601.5,179463966.0,15386.04
235,13-JUN-2023,18631.8,18728.9,18631.8,18716.15,233167883.0,22612.62
236,14-JUN-2023,18744.6,18769.7,18690.0,18755.9,261354575.0,19520.08
237,15-JUN-2023,18774.45,18794.1,18669.05,18688.1,263004991.0,24820.77
238,16-JUN-2023,18723.3,18864.7,18710.5,18826.0,272771256.0,28877.67
239,19-JUN-2023,18873.3,18881.45,18719.15,18755.45,219815214.0,22699.84
240,20-JUN-2023,18752.35,18839.7,18660.65,18816.7,211649257.0,19687.08
241,21-JUN-2023,18849.4,18875.9,18794.85,18856.85,217481345.0,19102.48
242,22-JUN-2023,18853.6,18886.6,18759.5,18771.25,252697871.0,24990.87
243,23-JUN-2023,18741.85,18756.4,18647.1,18665.5,210562119.0,20619.6
244,26-JUN-2023,18682.35,18722.05,18646.7,18691.2,171271325.0,17355.14
245,27-JUN-2023,18748.55,18829.25,18714.25,18817.4,222464605.0,21415.89
246,28-JUN-2023,18908.15,19011.25,18861.35,18972.1,398782019.0,37356.94
0,30-JUN-2023,19076.85,19201.7,19024.6,19189.05,247906587.0,26376.62
1,03-JUL-2023,19246.5,19345.1,19234.4,19322.55,226050219.0,22681.54
2,04-JUL-2023,19406.6,19434.15,19300.0,19389.0,226916635.0,26634.06
3,05-JUL-2023,19405.95,19421.6,19339.6,19398.5,224418797.0,24699.24
4,06-JUL-2023,19385.7,19512.2,19373.0,19497.3,268261285.0,28540.18
5,07-JUL-2023,19422.8,19523.6,19303.6,19331.8,237102566.0,23089.25
6,10-JUL-2023,19400.35,19435.85,19327.1,19355.9,268246132.0,25991.55
7,11-JUL-2023,19427.1,19515.1,19406.45,19439.4,251263638.0,26883.78
8,12-JUL-2023,19497.45,19507.7,19361.75,19384.3,327941559.0,40163.14
9,13-JUL-2023,19495.2,19567.0,19385.8,19413.75,310442517.0,27244.56
10,14-JUL-2023,19493.45,19595.35,19433.5,19564.5,291165841.0,25484.44
11,17-JUL-2023,19612.15,19731.85,19562.95,19711.45,268707894.0,25975.57
12,18-JUL-2023,19787.5,19819.45,19690.2,19749.25,286353897.0,33269.08
13,19-JUL-2023,19802.95,19851.7,19727.45,19833.15,259660464.0,26447.9
14,20-JUL-2023,19831.7,19991.85,19758.4,19979.15,274698867.0,30622.66
15,21-JUL-2023,19800.45,19887.4,19700.0,19745.0,312461795.0,33802.14
16,24-JUL-2023,19748.45,19782.75,19658.3,19672.35,265562151.0,24522.29
17,25-JUL-2023,19729.35,19729.35,19615.95,19680.6,369653496.0,29665.67
18,26-JUL-2023,19733.35,19825.6,19716.7,19778.3,244747425.0,23023.86
19,27-JUL-2023,19850.9,19867.55,19603.55,19659.9,334891351.0,35019.13
20,28-JUL-2023,19659.75,19695.9,19563.1,19646.05,258671382.0,22995.98
21,31-JUL-2023,19666.35,19772.75,19597.6,19753.8,295053318.0,23075.38
22,01-AUG-2023,19784.0,19795.6,19704.6,19733.55,298048161.0,24554.71
23,02-AUG-2023,19655.4,19678.25,19423.55,19526.55,290666798.0,23997.47
24,03-AUG-2023,19463.75,19537.65,19296.45,19381.65,315688612.0,29899.38
25,04-AUG-2023,19462.8,19538.85,19436.45,19517.0,280799561.0,28086.15
26,07-AUG-2023,19576.85,19620.45,19524.8,19597.3,216586074.0,21655.87
27,08-AUG-2023,19627.2,19634.4,19533.1,19570.85,260294052.0,25437.47
28,09-AUG-2023,19578.8,19645.5,19467.5,19632.55,266495074.0,23201.75
